,place_name,place_id,facility_available_name,facility_id,facility_is_available
69,구로디지털단지,30,엘리베이터,900069,이용가능
70,구산,31,화장실,900070,이용가능
71,구산,31,엘리베이터,900071,이용가능
72,구산,31,에스켈레이터,900072,이용가능
73,구산,31,휠체어리프트,900073,이용가능
74,구의,32,화장실,900074,이용가능
75,구의,32,엘리베이터,900075,이용가능
76,구의,32,에스켈레이터,900076,이용가능
77,구파발,34,화장실,900077,이용가능
78,구파발,34,엘리베이터,900078,이용가능
79,구파발,34,에스켈레이터,900079,이용가능
80,군자,35,화장실,900080,이용가능
81,군자,35,엘리베이터,900081,이용가능
82,굽은다리,37,화장실,900082,이용가능
83,굽은다리,37,에스켈레이터,900083,이용가능
84,굽은다리,37,엘리베이터,900084,이용가능
85,금호,39,화장실,900085,이용가능
86,금호,39,엘리베이터,900086,이용가능
87,길동,40,에스켈레이터,900087,이용가능
88,길동,40,화장실,900088,이용가능
89,길동,40,엘리베이터,900089,이용가능
90,길음,41,엘리베이터,900090,이용가능
91,길음,41,화장실,900091,이용가능
92,김포공항,42,화장실,900092,이용가능
93,김포공항,42,엘리베이터,900093,이용가능
94,김포공항,42,에스켈레이터,900094,이용가능
95,까치산,43,화장실,900095,이용가능
96,까치산,43,에스켈레이터,900096,이용가능
97,까치산,43,엘리베이터,900097,이용가능
98,까치산,43,휠체어리프트,900098,이용가능
99,낙성대,44,화장실,900099,이용가능
100,낙성대,44,엘리베이터,900100,이용가능
101,낙성대,44,에스켈레이터,900101,이용가능
102,남구로,45,화장실,900102,이용가능
103,남구로,45,에스켈레이터,900103,이용가능
104,남구로,45,휠체어리프트,900104,이용가능
105,남부터미널,46,화장실,900105,이용가능
106,남부터미널,46,엘리베이터,900106,이용가능
107,남성,47,화장실,900107,이용가능
108,남성,47,엘리베이터,900108,이용가능
109,남성,47,에스켈레이터,900109,이용가능
110,남태령,49,화장실,900110,이용가능
