,place_name,place_address,lat,lon,category,place_id
4419,트레져오일몽촌주유소 화장실,서울특별시 송파구 방이동 107-8,37.510334,127.101129,toilet/open,10520
4420,백제고분로주유소 화장실,서울특별시 송파구 방이동 109-6,37.500221999999994,127.160804,toilet/open,10521
4421,SK방이주유소 화장실,서울특별시 송파구 방이동 132-1,37.510395,127.07229,toilet/open,10522
4422,SK정유(남성주유소) 화장실,서울특별시 송파구 방이동 149-3,37.497569,127.151246,toilet/open,10523
4423,송파알찬주유소 화장실,서울특별시 송파구 삼전동 9-8,37.515823,127.132201,toilet/open,10524
4424,GS석촌주유소 화장실,서울특별시 송파구 석촌동 14-12,37.512494000000004,127.093382,toilet/open,10525
4425,인광주유소 화장실,서울특별시 송파구 석촌동 295,37.50763,127.109816,toilet/open,10526
4426,잠실주유소(셀프) 화장실,서울특별시 송파구 송파동 19-1,37.50608,127.10590400000001,toilet/open,10527
4427,유진주유소 화장실,서울특별시 송파구 오금동 121-1,37.507467,127.10966699999999,toilet/open,10528
4428,한진송파주유소 화장실,서울특별시 송파구 오금동 121-6,37.503917,127.124701,toilet/open,10529
4429,올림픽주유소(셀프) 화장실,서울특별시 송파구 오금동 4,37.502767999999996,127.097991,toilet/open,10530
4430,삼화주유소 화장실,서울특별시 송파구 잠실동 222-31,37.499076,127.11944799999999,toilet/open,10531
4431,완불주유소 화장실,서울특별시 송파구 장지동 608-5,37.498954,127.117173,toilet/open,10532
4432,남성대주유소 화장실,서울특별시 송파구 장지동 645-13,37.511283,127.097926,toilet/open,10533
4433,진양주유소 화장실,서울특별시 송파구 풍납동 401-6,37.512386,127.099356,toilet/open,10534
4434,우리주유소 화장실,"서울특별시 송파구 가락2동 137-9, 11",37.516252,127.103021,toilet/open,10535
4435,서원주유소 화장실,"서울특별시 송파구 가락2동 146-6, 7",37.491735,127.11773799999999,toilet/open,10536
4436,정직한주유소(셀프) 화장실,"서울특별시 송파구 거여1동 19-4, 5, 6, 7",37.511101000000004,127.09390400000001,toilet/open,10537
4437,송파주유소(셀프) 화장실,서울특별시 송파구 거여동 26-1,37.520051,127.10381000000001,toilet/open,10538
4438,대성주유소 화장실,서울특별시 송파구 마천2동 31,37.517821999999995,127.10181899999999,toilet/open,10539
4439,상아주유소 화장실,서울특별시 송파구 마천2동 49-11,37.517399,127.10071699999999,toilet/open,10540
4440,삼정주유소 화장실,"서울특별시 송파구 삼전동 72-2, 8",37.497627,127.124371,toilet/open,10541
4441,선우상사 삼전주유소 화장실,"서울특별시 송파구 삼전동 7-8, 13",37.48956,127.110602,toilet/open,10542
4442,송파제일주유소(셀프) 화장실,"서울특별시 송파구 석촌동 210-16, 17, 18",37.503781,127.13035900000001,toilet/open,10543
4443,퍼스트주유소(셀프) 화장실,서울특별시 송파구 석촌동 217-17,37.500471000000005,127.13168600000002,toilet/open,10544
4444,㈜남경석유 화장실,"서울특별시 송파구 오금동 129-5, 6",37.508202000000004,127.132566,toilet/open,10545
4445,아시아주유소 화장실,"서울특별시 송파구 잠실본동 305-11, 12",37.50519,127.131653,toilet/open,10546
4446,송파주유소 화장실,서울특별시 송파구 송파2동 174-16,37.489917999999996,127.14360400000001,toilet/open,10547
4447,SK엔크린 신화에너지 화장실,"서울특별시 송파구 석촌동 239-8, 13",37.485184000000004,127.128863,toilet/open,10548
4448,GS칼텍스 레이크시티주유소 화장실,"서울특별시 송파구 석촌동 14-2, 3",37.501658,127.14575400000001,toilet/open,10549
4449,마천시장 화장실,"서울특별시 송파구 마천동 140-2,3",37.496836,127.141655,toilet/open,10550
4450,성내천 물놀이장 화장실 화장실,서울특별시 송파구 오금동 135번지,37.490303000000004,127.132223,toilet/open,10551
4451,"탄천,장지천 합류지점 화장실 화장실",서울특별시 송파구 문정동 419-13(장지천?탄천 합류지점),37.503089,127.14238799999998,toilet/open,10552
4452,물빛광장 앞 화장실 화장실,서울특별시 송파구 오금동 128번지,37.498974,127.139151,toilet/open,10553
4453,방이동고분군화장실 화장실,서울특별시 송파구 방이동 125,37.493519,127.13093899999998,toilet/open,10554
4454,석촌동 고분군화장실 화장실,서울특별시 송파구 석촌동 248,37.49346,127.13006499999999,toilet/open,10555
4455,송파다목적구장화장실 화장실,서울특별시 송파구 오금동 51 송파다목적 구장,37.491797999999996,127.123935,toilet/open,10556
4456,송파구여성축구장 화장실,서울특별시 송파구 방이동 88-10,37.498197999999995,127.125335,toilet/open,10557
4457,체육문화회관화장실 화장실,서울특별시 송파구 거여동 289,37.506054,127.08456799999999,toilet/open,10558
4458,배드민턴체육관 화장실 화장실,서울특별시 송파구 거여동 산 21-1,37.478652000000004,127.12066000000002,toilet/open,10559
4459,송파어린이도서관 화장실,서울특별시 송파구 잠실동19-6,37.485147,127.13463999999999,toilet/open,10560
4460,소나무언덕1호작은도서관 화장실,서울특별시 송파구 풍납동401-1,37.500888,127.15880200000001,toilet/open,10561
4461,소나무언덕2호작은도서관 화장실,서울특별시 송파구 잠실동 44-4,37.538538,127.121894,toilet/open,10562
4462,거마도서관 정보센터 화장실,서울특별시 송파구 거여동 195-1,37.506347,127.10998700000002,toilet/open,10563
4464,소나무언덕잠실본동작은도서관 화장실,서울특별시 송파구 잠실동 306,37.532163,127.113295,toilet/open,10564
4465,송파어린이영어작은도서관 화장실,서울특별시 송파구 신천동 14,37.492335,127.156625,toilet/open,10565
4466,송파여성문화회관 화장실 화장실,서울특별시 송파구 송파동 113-2,37.489731,127.111309,toilet/open,10566
4467,비계(현충) 화장실,서울특별시 동작구 동작동 산42-1,37.5031984473,126.96769570299999,toilet/small,10567
4468,송파 어린이문화회관 화장실,서울특별시 송파구 오금동 50,37.499996,127.134841,toilet/open,10568
4469,마천종합사회복지관 화장실,서울특별시 송파구 마천동 323-197,37.519185,127.116092,toilet/open,10569
4470,가락종합사회복지관 화장실,서울특별시 송파구 가락동 481-2,37.51894,127.115517,toilet/open,10570
4471,송파종합사회복지관 화장실,서울특별시 송파구 거여동 5-8,37.518034,127.116721,toilet/open,10571
4472,삼전종합사회복지관 화장실,서울특별시 송파구 삼전동 172,37.516559,127.12921000000001,toilet/open,10572
4473,풍납종합사회복지관 화장실,서울특별시 송파구 풍납동 330-1,37.51693,127.11820900000001,toilet/open,10573
4474,잠실종합사회복지관 화장실,서울특별시 송파구 잠실동 188-1,37.516682,127.120994,toilet/open,10574
4475,솔바람복지센터 화장실,서울특별시 송파구 풍납동 175,37.514996000000004,127.122224,toilet/open,10575
4476,방이복지관 화장실,서울특별시 송파구 방이동 52-2,37.521094,127.12101100000001,toilet/open,10576
4477,서울시각장애인복지관 화장실,서울특별시 송파구 삼전동 109,37.51477,127.12509399999999,toilet/open,10577
4478,인성장애인복지관 화장실,서울특별시 송파구 마천동 211-90,37.514047999999995,127.127531,toilet/open,10578
