,facility_detail_info,facility_available_name
304,전용주차대수  2,장애인 전용 주차구역_금수복국
305,출입구와 가까운 곳에 설치,장애인 전용 주차구역_금수복국
306,크기 확보(3.3*5m),장애인 전용 주차구역_금수복국
307,안내표지판 설치,장애인 전용 주차구역_금수복국
308,단차없음 또는 경사로 1/12이하 설치,주출입구 높이차이 제거_금수복국
309,유효폭 1.2m 이상,주출입구 높이차이 제거_금수복국
310,상세정보 없음,주출입구 접근로_나주곰탕
311,상세정보 없음,장애인 전용 주차구역_나주곰탕
312,상세정보 없음,주출입구 접근로_남원추어탕
313,상세정보 없음,장애인 전용 주차구역_남원추어탕
314,평탄함,주출입구 접근로_논골집
315,단차없음,주출입구 접근로_논골집
316,유효폭 1.2m 이상,주출입구 접근로_논골집
317,기울기 1/18이하,주출입구 접근로_논골집
318,보/차도 구분,주출입구 접근로_논골집
319,총주차대수4,장애인 전용 주차구역_논골집
320,평탄함,주출입구 접근로_놀부 유황오리 진흙구이 청담점(청담솔 빌딩)
321,단차없음,주출입구 접근로_놀부 유황오리 진흙구이 청담점(청담솔 빌딩)
322,유효폭 1.2m 이상,주출입구 접근로_놀부 유황오리 진흙구이 청담점(청담솔 빌딩)
323,기울기 1/18이하,주출입구 접근로_놀부 유황오리 진흙구이 청담점(청담솔 빌딩)
324,보/차도 구분,주출입구 접근로_놀부 유황오리 진흙구이 청담점(청담솔 빌딩)
325,총주차대수83,장애인 전용 주차구역_놀부 유황오리 진흙구이 청담점(청담솔 빌딩)
326,전용주차대수  3,장애인 전용 주차구역_놀부 유황오리 진흙구이 청담점(청담솔 빌딩)
327,출입구와 가까운 곳에 설치,장애인 전용 주차구역_놀부 유황오리 진흙구이 청담점(청담솔 빌딩)
328,크기 확보(3.3*5m),장애인 전용 주차구역_놀부 유황오리 진흙구이 청담점(청담솔 빌딩)
329,안내표지판 설치,장애인 전용 주차구역_놀부 유황오리 진흙구이 청담점(청담솔 빌딩)
330,단차없음 또는 경사로 1/12이하 설치,주출입구 높이차이 제거_놀부 유황오리 진흙구이 청담점(청담솔 빌딩)
331,유효폭 1.2m 이상,주출입구 높이차이 제거_놀부 유황오리 진흙구이 청담점(청담솔 빌딩)
332,평탄함,주출입구 접근로_놀부부대찌게&철판구이
333,단차없음,주출입구 접근로_놀부부대찌게&철판구이
334,유효폭 1.2m 이상,주출입구 접근로_놀부부대찌게&철판구이
335,기울기 1/18이하,주출입구 접근로_놀부부대찌게&철판구이
336,보/차도 구분없음,주출입구 접근로_놀부부대찌게&철판구이
337,총주차대수8,장애인 전용 주차구역_놀부부대찌게&철판구이
338,단차없음 또는 경사로 1/12이하 설치,주출입구 높이차이 제거_놀부부대찌게&철판구이
339,유효폭 1.2m 이상,주출입구 높이차이 제거_놀부부대찌게&철판구이
340,손잡이 설치,주출입구 높이차이 제거_놀부부대찌게&철판구이
341,평탄함,주출입구 접근로_달인갈매기(광명빌딩)
342,단차없음,주출입구 접근로_달인갈매기(광명빌딩)
343,유효폭 1.2m 이상,주출입구 접근로_달인갈매기(광명빌딩)
344,기울기 1/18이하,주출입구 접근로_달인갈매기(광명빌딩)
345,보/차도 구분,주출입구 접근로_달인갈매기(광명빌딩)
346,총주차대수4,장애인 전용 주차구역_달인갈매기(광명빌딩)
347,단차없음 또는 경사로 1/12이하 설치,주출입구 높이차이 제거_달인갈매기(광명빌딩)
348,유효폭 1.2m 이상,주출입구 높이차이 제거_달인갈매기(광명빌딩)
349,상세정보 없음,주출입구 접근로_대가순대국
350,총주차대수8,장애인 전용 주차구역_대가순대국
351,상세정보 없음,주출입구 접근로_대문한정식
352,총주차대수6,장애인 전용 주차구역_대문한정식
353,단차없음 또는 경사로 1/12이하 설치,주출입구 높이차이 제거_대박고기집(등마루오리한마당)
354,유효폭 1.2m 이상,주출입구 높이차이 제거_대박고기집(등마루오리한마당)
355,손잡이 설치,주출입구 높이차이 제거_대박고기집(등마루오리한마당)
356,상세정보 없음,주출입구 접근로_대원
357,유효폭 1.2m 이상,주출입구 높이차이 제거_대원
358,평탄함,주출입구 접근로_대원정
359,단차없음,주출입구 접근로_대원정
360,유효폭 1.2m 이상,주출입구 접근로_대원정
361,기울기 1/18이하,주출입구 접근로_대원정
362,보/차도 구분,주출입구 접근로_대원정
363,상세정보 없음,장애인 전용 주차구역_대원정
364,평탄함,주출입구 접근로_대창타운빌
365,단차없음,주출입구 접근로_대창타운빌
366,유효폭 1.2m 이상,주출입구 접근로_대창타운빌
367,기울기 1/18이하,주출입구 접근로_대창타운빌
368,보/차도 구분,주출입구 접근로_대창타운빌
369,총주차대수10,장애인 전용 주차구역_대창타운빌
370,전용주차대수  1,장애인 전용 주차구역_대창타운빌
371,출입구와 가까운 곳에 설치,장애인 전용 주차구역_대창타운빌
372,크기 미 확보,장애인 전용 주차구역_대창타운빌
373,안내표지판 설치,장애인 전용 주차구역_대창타운빌
374,단차없음 또는 경사로 1/12이하 설치,주출입구 높이차이 제거_대창타운빌
375,유효폭 1.2m 이상,주출입구 높이차이 제거_대창타운빌
376,평탄함,주출입구 접근로_도봉산갈비
377,단차없음,주출입구 접근로_도봉산갈비
378,유효폭 1.2m 이상,주출입구 접근로_도봉산갈비
